Fast A,Fast B,Slow A,Slow B
333,0,260,761
339,0,251,775
336,0,242,787
329,0,232,817
314,0,211,838
315,0,194,872
310,0,180,879
308,0,175,892
298,0,179,915
298,0,172,889
290,0,171,878
265,0,171,859
261,0,173,846
240,0,169,819
233,0,176,828
218,0,180,801
217,0,195,810
203,0,200,769
204,0,210,760
188,0,211,747
178,0,207,741
164,0,192,730
155,0,181,751
150,0,178,757
148,0,182,769
148,0,171,781
150,0,175,750
159,0,175,749
175,0,172,712
183,0,169,679
195,0,193,655
205,0,193,657
207,0,195,610
201,0,191,606
202,0,180,587
197,0,173,558
196,0,175,538
196,0,172,549
192,0,167,543
188,0,167,553
189,0,165,562
188,0,154,554
182,0,162,547
186,0,168,533
186,0,172,519
183,0,163,516
179,0,185,517
173,0,183,529
175,0,189,533
176,0,194,540
178,0,203,529
181,0,198,514
184,0,208,488
176,0,212,474
173,0,210,456
176,0,206,445
173,0,206,449
174,0,202,448
176,0,203,452
176,0,207,446
174,0,215,459
177,0,214,465
184,0,211,465
191,0,205,474
199,0,198,487
204,0,196,484
217,0,184,467
220,0,181,470
232,0,181,449
255,0,181,433
276,0,181,425
286,0,188,436
310,0,185,452
326,0,181,458
330,0,186,478
336,0,179,479
348,0,175,488
361,0,178,469
365,0,184,475
390,0,189,464
403,0,186,482
413,0,194,486
432,0,199,483
471,0,203,496
484,0,196,517
527,0,215,494
550,0,219,473
577,0,220,463
578,0,226,449
598,0,239,434
612,0,238,443
658,0,246,453
671,0,252,459
709,0,258,453
725,0,275,439
737,0,287,436
729,0,290,424
732,0,299,426
739,0,302,421
745,0,294,413
762,0,283,409
780,0,299,432
817,0,310,440
829,0,325,444
874,0,343,453
881,0,365,445
890,0,366,410
881,0,388,412
869,0,374,414
844,0,394,414
846,0,394,431
836,0,399,478
829,0,387,498
821,0,416,521
777,0,410,544
724,0,418,553
677,0,424,560
616,0,427,582
586,0,432,605
571,0,422,640
540,0,418,658
517,0,422,674
494,0,419,677
454,0,392,668
414,0,396,675
404,0,375,690
393,0,355,687
367,0,353,696
346,0,355,722
326,0,334,706
309,0,325,714
307,0,308,732
300,0,281,741
300,0,260,757
306,0,259,777
290,0,252,790
264,0,241,814
250,0,231,842
228,0,227,877
209,0,229,904
215,0,231,939
207,0,235,952
215,0,230,970
217,0,235,977
213,0,229,986
200,0,223,998
203,0,219,1011
201,0,235,1008
201,0,236,965
200,0,242,938
203,0,250,910
203,0,262,852
207,0,282,809
207,0,285,788
199,15,292,795
188,15,316,771
174,19,328,771
163,23,325,760
151,29,329,755
153,23,329,742
171,30,331,725
179,40,330,712
179,57,332,698
184,61,315,681
178,71,309,628
171,81,287,589
173,94,273,564
170,93,241,518
171,106,246,490
188,112,233,471
188,112,219,465
188,115,210,449
198,121,215,429
199,121,209,399
190,128,200,388
187,136,199,374
197,139,192,354
194,141,195,365
194,149,186,381
195,151,193,396
216,158,197,392
215,162,195,391
227,164,192,392
236,155,197,396
252,143,190,383
245,129,186,384
243,117,187,393
245,107,199,374
248,95,210,373
237,90,226,379
238,89,233,387
239,89,236,379
230,91,232,396
231,86,247,391
234,88,245,378
232,88,254,373
237,79,268,374
245,88,283,375
260,93,264,373
288,90,281,368
303,92,288,357
323,94,292,336
348,82,284,317
356,79,292,307
353,88,282,287
363,90,279,294
384,87,279,284
384,89,296,272
399,89,297,265
409,90,308,268
437,81,315,244
420,80,322,278
425,88,311,280
458,92,322,290
479,81,320,292
475,90,311,302
508,88,299,282
520,80,294,284
497,82,289,270
495,89,293,276
502,83,299,266
495,94,305,279
502,101,323,287
493,104,325,307
505,105,332,318
482,102,346,353
488,106,358,365
480,108,376,390
490,107,390,403
466,119,392,425
467,133,391,414
451,127,398,422
474,130,378,410
473,133,381,413
474,124,388,400
491,118,389,395
509,122,413,392
490,124,429,404
489,119,457,415
489,114,472,428
475,109,476,457
444,105,458,469
445,95,455,478
434,93,425,473
415,93,412,484
402,93,414,511
403,93,413,534
417,98,398,548
429,108,410,575
443,105,402,592
450,109,402,579
453,108,386,575
436,104,384,576
437,101,371,564
426,110,369,570
403,107,347,586
388,106,377,597
375,107,370,586
323,102,357,602
306,105,343,597
298,107,342,586
282,99,311,581
260,100,299,610
258,98,303,599
252,95,318,585
246,89,334,566
241,91,333,554
242,90,332,522
254,94,315,519
252,102,306,515
233,115,312,504
227,125,302,495
216,143,291,485
199,155,282,487
191,169,267,484
199,186,248,491
193,201,242,486
186,210,245,503
183,236,250,514
168,247,252,523
155,258,242,550
168,274,235,569
172,279,222,573
169,261,230,561
177,257,220,556
185,253,224,525
172,253,225,520
172,250,223,500
169,258,224,485
173,264,238,441
163,253,249,443
169,228,257,425
173,234,274,414
170,231,277,399
166,217,278,417
169,225,279,405
164,246,281,386
155,240,286,399
168,235,276,405
170,245,282,405
172,242,282,399
171,240,284,407
184,231,294,391
178,218,298,379
177,215,293,374
190,210,295,383
198,204,295,366
192,198,279,353
201,190,297,359
207,172,296,342
212,156,299,344
221,135,310,339
230,124,327,337
231,115,320,313
234,112,335,314
226,103,345,297
225,103,359,306
222,92,371,313
226,85,371,333
231,80,368,327
242,73,366,327
237,65,370,330
234,64,362,331
231,60,384,343
234,62,390,358
221,59,408,375
238,54,393,367
257,51,384,360
270,51,364,357
280,46,375,347
284,41,363,335
275,39,384,330
272,41,395,332
264,39,408,322
254,41,394,322
258,44,400,331
254,48,393,346
253,47,389,345
259,41,400,350
263,33,414,360
269,28,422,367
282,24,420,372
281,22,440,390
283,22,432,394
291,18,422,395
310,19,437,399
315,18,463,394
331,18,466,415
354,21,467,436
360,23,481,458
351,19,447,464
363,20,419,486
367,19,405,481
366,21,396,493
361,22,378,504
392,25,376,508
397,26,372,504
410,29,362,504
421,28,347,527
442,32,342,530
433,33,341,539
432,33,321,557
437,34,322,582
448,34,318,571
441,32,318,585
434,31,304,614
455,33,316,641
443,32,298,660
421,37,308,671
412,38,306,691
413,39,311,682
387,38,298,663
392,38,332,657
384,38,330,646
379,40,367,616
368,42,390,612
359,41,421,613
349,45,426,586
340,44,450,580
320,42,439,596
317,44,442,583
296,51,461,583
282,48,463,601
287,51,458,623
292,58,442,642
268,54,445,686
258,57,430,697
244,58,404,704
230,58,406,716
219,50,403,717
227,56,402,722
236,52,391,739
232,54,417,768
237,57,412,770
231,61,413,808
227,59,418,809
223,62,428,801
228,62,430,801
215,60,435,804
211,55,457,768
203,47,444,767
192,42,445,786
188,42,440,784
177,40,422,777
171,41,412,788
181,44,400,803
181,44,378,800
163,46,364,797
163,46,362,802
157,50,369,793
149,57,385,783
152,65,392,738
161,72,383,679
156,85,393,680
142,85,383,661
129,81,369,626
131,80,362,649
143,71,362,674
146,63,363,646
154,64,372,639
158,69,385,633
158,76,409,604
147,83,409,598
146,92,405,595
157,94,393,579
144,92,382,574
152,89,355,563
152,84,353,540
156,74,360,514
151,71,381,515
160,70,396,488
150,70,417,480
155,74,410,479
159,74,403,470
154,86,391,465
158,96,370,462
150,100,353,466
151,105,363,465
152,109,369,462
171,105,371,460
178,107,369,448
196,103,362,438
194,94,354,430
187,101,343,443
177,97,329,429
179,94,337,436
190,91,359,432
200,90,373,443
210,82,365,428
210,73,374,414
205,59,359,415
194,51,341,421
196,39,335,411
197,25,356,410
205,22,359,423
212,23,375,422
217,20,382,420
220,20,385,408
239,18,377,402
254,15,386,393
